dataset,row,identity,local_index,lfw_index
probe,61,Ben Affleck,0,5891
probe,62,Ben Affleck,1,1565
probe,63,Ben Affleck,2,2864
probe,64,Ben Affleck,3,2075
probe,65,Ben Affleck,4,1029
probe,66,Ben Affleck,5,3639
probe,67,Jeremy Greenstock,0,4084
probe,68,Jeremy Greenstock,1,2036
probe,69,Jeremy Greenstock,2,5513
probe,70,Jeremy Greenstock,3,4913
probe,71,Jeremy Greenstock,4,896
probe,72,Jeremy Greenstock,5,3176
probe,73,Jeremy Greenstock,6,4983
probe,74,Jeremy Greenstock,7,525
probe,75,David Anderson,0,1507
probe,76,David Anderson,1,3078
probe,77,David Anderson,2,777
probe,78,David Anderson,3,2681
probe,79,John Stockton,0,12
probe,80,John Stockton,1,5663
probe,81,John Stockton,2,3867
probe,82,John Stockton,3,2958
probe,83,Zhu Rongji,0,4642
probe,84,Zhu Rongji,1,5394
probe,85,Zhu Rongji,2,1051
probe,86,Zhu Rongji,3,5734
probe,87,Zhu Rongji,4,1376
probe,88,Zhu Rongji,5,5163
probe,89,Zhu Rongji,6,4936
probe,90,Zhu Rongji,7,1022
probe,91,Mahmoud Abbas,0,5102
probe,92,Mahmoud Abbas,1,3387
probe,93,Mahmoud Abbas,2,2742
probe,94,Mahmoud Abbas,3,1223
probe,95,Mahmoud Abbas,4,1359
probe,96,Mahmoud Abbas,5,1856
probe,97,Mahmoud Abbas,6,4068
probe,98,Mahmoud Abbas,7,1924
probe,99,Gloria Macapagal Arroyo,0,4396
probe,100,Gloria Macapagal Arroyo,1,721
probe,101,Gloria Macapagal Arroyo,2,104
probe,102,Gloria Macapagal Arroyo,3,1195
probe,103,Gloria Macapagal Arroyo,4,968
probe,104,Gloria Macapagal Arroyo,5,2960
probe,105,Gloria Macapagal Arroyo,6,4353
probe,106,Gloria Macapagal Arroyo,7,2371
probe,107,Steven Spielberg,0,3778
probe,108,Steven Spielberg,1,2956
probe,109,Steven Spielberg,2,3460
probe,110,Steven Spielberg,3,5040
probe,111,Steven Spielberg,4,1807
probe,112,Steven Spielberg,5,5838
probe,113,Norm Coleman,0,5854
probe,114,Norm Coleman,1,5852
probe,115,Norm Coleman,2,5422
probe,116,Norm Coleman,3,1720
probe,117,Norm Coleman,4,3046
probe,118,Norm Coleman,5,2617
probe,119,Catherine Zeta-Jones,0,300
probe,120,Catherine Zeta-Jones,1,886
probe,121,Catherine Zeta-Jones,2,4309
probe,122,Catherine Zeta-Jones,3,793
probe,123,Catherine Zeta-Jones,4,527
probe,124,Catherine Zeta-Jones,5,1755
probe,125,Catherine Zeta-Jones,6,4294
probe,126,Catherine Zeta-Jones,7,5466
